"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"495","303450469784702_429252743831737","303450469784702","Dr. Rodolfo Hernández","2013-03-24T09:59:52+0000","2013-03-24","2013","03","24","24/03/13","1","¿Por qué me hice Pediatra? Porque sentí el llamado... ¿Por qué quiero ser Presidente de Costa Rica? Porque mi trabajo por su familia y sus hijos apenas comienza. 
¡El Dr. 2014-2018!","video","7631","415","8046","100.0%","100.0%","92.5%","92.5%","https://www.youtube.com/watch?v=LIR9tZm4oGc"
"608","69554133109_10151587692928110","69554133109","Johnny Araya","2013-07-06T14:42:56+0000","2013-07-06","2013","07","06","06/07/13","7","¡Le pedimos a Dios que nos acompañe en este nuevo camino que con mucho amor hemos escogido!","photo","4832","91","4923","61.2%","100.0%","56.6%","75.0%","https://www.facebook.com/photo.php?fbid=10151587692873110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"610","69554133109_10151584109703110","69554133109","Johnny Araya","2013-07-04T14:22:05+0000","2013-07-04","2013","07","04","04/07/13","5","Después de varios años de construir una hermosa relación, Sandra y yo hemos decidido, con nuestros corazones llenos de certeza, unir nuestras vidas en matrimonio.  

Este es un momento muy importante para nosotros y para nuestras familias y nos llena de ilusión el poder compartir este proyecto de vida. ¡Le pedimos a Dios que nos acompañe en este nuevo camino que con mucho amor hemos escogido!","photo","3874","76","3950","49.1%","80.2%","45.4%","60.2%","https://www.facebook.com/photo.php?fbid=10151584109638110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"840","69554133109_10151251682888110","69554133109","Johnny Araya","2013-01-05T01:39:04+0000","2013-01-05","2013","01","05","05/01/13","7","Es tiempo de unir a Costa Rica, de lograr un país más incluyente, pluralista y democrático. Es momento de trabajar por devolver la confianza a los costarricenses y concentrarnos en los grandes retos que tenemos.","status","3533","124","3657","45.5%","74.3%","42.0%","55.7%","0"
"323","303450469784702_331622900300792","303450469784702","Dr. Rodolfo Hernández","2013-05-18T01:00:54+0000","2013-05-18","2013","05","18","18/05/13","7","Alguien tiene que enderezar el rumbo y yo estoy dispuesto a hacerlo.","video","3082","216","3298","41.0%","41.0%","37.9%","37.9%","http://www.youtube.com/watch?v=5jdSngYDn7s&feature=player_detailpage"
"838","69554133109_10151260591643110","69554133109","Johnny Araya","2013-01-10T14:21:35+0000","2013-01-10","2013","01","10","10/01/13","5","Con agradecimiento y humildad recibo las circunstancias que me están permitiendo ser candidato del PLN sin necesidad de una Convención interna. Estoy conciente de la enorme responsabilidad que me corresponde asumir  con el país. Pretendo ser un factor de unidad  en la sociedad costarricense. Le pido a Dios que me de la sabiduría para asumir los grandes retos que tengo por delante.","status","3204","84","3288","40.9%","66.8%","37.8%","50.1%","https://www.facebook.com/JohnnyArayaMonge/posts/10151260591643110"
"2556","113998707676_10151464818842677","113998707676","José María Villalta Florez-Estrada","2013-05-29T05:41:56+0000","2013-05-29","2013","05","29","29/05/13","4","Hoy tuve la desdicha de presenciar uno de los actos más soeces que he visto en el Parlamento: la agresión de Justo Orozco contra la diputada Carmen Muñoz. La supuesta ""recusación"" no tenía ni pies ni cabeza. Justo lo sabía: no podríamos legislar para proteger la vida porque estamos vivos, si votamos para proteger la dignidad humana incurriríamos en conflicto de intereses, si defendemos el ambiente, estaríamos legislando en beneficio propio. No. En el fondo el ""recurso"" de Orozco buscaba denigrar a la diputada Muñoz, humillarla y exponerla por su orientación sexual. Fue en sí mismo un acto de grosero de discriminación, pura apología del odio. Por eso ni siquiera lo leímos. Habríamos sido cómplices. Y también lo seríamos si no denunciamos esta barbaridad.","status","2669","512","3181","39.5%","100.0%","36.6%","50.2%","0"
"2603","113998707676_10151395025512677","113998707676","José María Villalta Florez-Estrada","2013-04-10T03:23:20+0000","2013-04-10","2013","04","10","10/04/13","4","Hoy, en la primera sesión legislativa de la comisión investigadora de la concesión de la carretera a San Ramón nos quedaron claras cuatro cosas: 1) El leonino contrato exonera a OAS hasta de pagar impuestos municipales, nuevo garrotazo a las comunidades alajuelenses. 2) El Gobierno tenía en sus manos, pero IGNORÓ un estudio pagado con consultorías de CONAVI que demuestra que se podían financiar la mayoría de las obras de mejoramiento de la carretera con subir un poco los peajes sin necesidad de la millonaria concesión. 3) La cesión del contrato se negoció de forma privada y en secreto entre Autopistas del Valle y OAS, sin respetar los principios elementales de publicidad y transparencia. Así pactaron un premio para la primera empresa por $33 millones, sin evaluar si cumplió, a pesar de que nunca construyó nada. 4) El ministro Pedro Castro fue consultor de OAS como el bufete de la exministra González asesoró a los dueños de Autopistas del Sol. El juego de las sillas musicales. Después como ministros se convierten en los principales voceros de estas empresas. La próxima semana seguimos. ¡Sobran motivos para salir a la calle este 11 de abril!","status","1758","1238","2996","37.2%","94.2%","34.4%","47.3%","0"
"2574","113998707676_10151424994887677","113998707676","José María Villalta Florez-Estrada","2013-05-01T17:02:34+0000","2013-05-01","2013","05","01","01/05/13","4","De 10 entrevistas que he dado a la prensa el día de hoy: 7 han sido para preguntarme sobre la vestimenta, la etiqueta, la corbata y que si estoy estrenando traje o no. Solo 3 sobre la situación política del país, la corrupción sistemática que saquea las arcas públicas, nuestras propuestas para este nuevo periodo legislativo, o la crisis social que enfrentan la mayoría de familias trabajadoras de nuestra patria. Mal síntoma. La forma por encima de la sustancia. Sin duda alguna no solo la Asamblea Legislativa tiene que cambiar muchas cosas si queremos rescatar a Costa Rica.","status","2513","443","2956","36.7%","92.9%","34.0%","46.7%","0"
"606","69554133109_10151589362498110","69554133109","Johnny Araya","2013-07-07T14:56:48+0000","2013-07-07","2013","07","07","07/07/13","1","Agradecemos tantos mensajes de cariño que Sandra y yo hemos recibido estos días. ¡Estamos muy felices y muy ilusionados de este nuevo camino que une nuestras vidas!","photo","2776","51","2827","35.1%","57.4%","32.5%","43.1%","https://www.facebook.com/photo.php?fbid=10151589362403110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"240","303450469784702_337448769718205","303450469784702","Dr. Rodolfo Hernández","2013-05-31T17:31:06+0000","2013-05-31","2013","05","31","31/05/13","6","Ha sido vilmente asesinado un defensor de la naturaleza por el simple hecho de defenderla.

Condeno con todas mis fuerzas este crimen atroz y pido a las autoridades nacionales no cesen en la búsqueda de los asesinos y a las judiciales que apliquen todo el peso de la ley contra los autores materiales e intelectuales de tan lamentable hecho.

A los familiares del biólogo asesinado, el joven Jairo Mora Sandoval, mis sentidas condolencias y mi profundo pesar por el sacrificio de un profesional soñador y comprometido.","photo","2372","361","2733","34.0%","34.0%","31.4%","31.4%","https://www.facebook.com/photo.php?fbid=337448763051539&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"2599","113998707676_10151396990862677","113998707676","José María Villalta Florez-Estrada","2013-04-11T18:58:50+0000","2013-04-11","2013","04","11","11/04/13","5","Muy buena la actividad en el centro de Alajuela. Miles de costarricenses en la calle diciéndole NO a las concesiones y los abusos. Vamos rumbo a Grecia, a seguir acompañando al Pueblo.
¡Hay Esperanza!
#concesionesNO","status","2544","95","2639","32.8%","83.0%","30.3%","41.7%","0"
"2746","113998707676_10151101142492677","113998707676","José María Villalta Florez-Estrada","2012-10-10T04:29:12+0000","2012-10-10","2012","10","10","10/10/12","4","Y tengo que decirlo. En este día triste, presencié el acto más mezquino del que tengo recuerdo en mi corta vida. Cuando empezaba mis palabras en homenaje a José Merino, la fracción en pleno del PLN se levantó y abandonó el Plenario. Después volvieron 4 o 5 pero ya era tarde. Total falta de humanidad. De compasión. Y de buenos modales elementales. Irrespeto absoluto a su memoria y a su familia. El agravio venía montado. De previo, una diputada intentó culparme por los condenables actos de violencia que un pequeño grupo ajeno a la lucha del fotocopiado cometió después de la marcha de las y los estudiantes. Con indignación, aclaré: ¡es mentira!, más bien estuve tratando de calmar los ánimos. Más probable sería que fueran infiltrados de la DIS. O del Gobierno. Lo sostengo porque es verdad. En todo caso, nada justifica semejante vulgaridad. Nada. Se retrataron de cuerpo entero.","status","2376","263","2639","32.8%","83.0%","30.3%","41.7%","0"
"2602","113998707676_10151395079547677","113998707676","José María Villalta Florez-Estrada","2013-04-10T04:29:39+0000","2013-04-10","2013","04","10","10/04/13","4","Buenas noticias! Por fin acabamos de aprobar la reforma para corregir la Ley Mordaza. Un logro del pueblo de Costa Rica!","status","2378","161","2539","31.6%","79.8%","29.2%","40.1%","0"
"822","69554133109_10151331782443110","69554133109","Johnny Araya","2013-02-08T18:52:51+0000","2013-02-08","2013","02","08","08/02/13","6","Un año más le doy gracias a Dios, por poder tener a mi padre con nosotros. Papá cumple hoy 91 años, está con muy buena salud y sigue siendo un importante apoyo y fuente de inspiración en mi vida.","photo","2409","43","2452","30.5%","49.8%","28.2%","37.4%","https://www.facebook.com/photo.php?fbid=10151331782383110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2386","113998707676_10151598583362677","113998707676","José María Villalta Florez-Estrada","2013-08-07T19:41:03+0000","2013-08-07","2013","08","07","07/08/13","4","Si no me conoce, ¡acérquese!","video","1836","583","2419","30.1%","76.0%","27.8%","38.2%","https://www.youtube.com/watch?v=uQMHrrPBWW4"
"373","303450469784702_328127950650287","303450469784702","Dr. Rodolfo Hernández","2013-05-08T19:30:01+0000","2013-05-08","2013","05","08","08/05/13","4","Es preciso dar el lugar que corresponde a los jóvenes y abrazar sus ideas porque hoy más que nunca, Costa Rica necesita de la transformación y de la renovación de sus estructuras. Estoy convencido que será la juventud la que renueve y cambie a nuestro país. http://www.youtube.com/watch?v=fLCk9IozH-A&feature=player_detailpage","video","2243","137","2380","29.6%","29.6%","27.4%","27.4%","http://www.youtube.com/watch?v=fLCk9IozH-A&feature=player_detailpage"
"765","69554133109_10151469697588110","69554133109","Johnny Araya","2013-04-29T14:25:29+0000","2013-04-29","2013","04","29","29/04/13","2","Al cumplir un año más, le doy gracias a Dios por todo lo que me ha permitido vivir, por tener a mi lado una familia como la que tengo y tanta gente que me ha dado su amistad y cariño. Siempre en estas fechas tengo más presente que nunca la hermosa canción popularizada por Mercedes Sosa: “Gracias a la vida que me ha dado tanto”","photo","2322","48","2370","29.5%","48.1%","27.2%","36.1%","https://www.facebook.com/photo.php?fbid=10151469697498110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"841","69554133109_10151245142228110","69554133109","Johnny Araya","2013-01-01T07:18:43+0000","2013-01-01","2013","01","01","01/01/13","3","Adelante Costa Rica! Hoy es el primer día de un nuevo año, hagamos lo posible para que todo sea mejor!","status","2342","21","2363","29.4%","48.0%","27.2%","36.0%","0"
